id,timestamp,id_planta,id_maquina,id_formula,codigo_producto,variable,tipo_alerta,valor_crudo,valor_suavizado,limite_violado,limite_min,limite_max,porcentaje_carga,prescripcion_ia,feedback_operario,timestamp_feedback
62,2026-03-08T15:12:03.973770,001,305,2260,YB1,presion_vapor,PRESION_ALTA,23.168,47.8368,45.0,15.0,45.0,66.7,"Presión de vapor excedida, valor suavizado en 47.84 PSI. Verifique la línea de vapor y la caldera por posible sobrepresión. Reduzca la carga de alimentación y notifique al supervisor de turno.",,
63,2026-03-08T15:13:03.973770,001,305,2260,YB1,presion_vapor,RETORNO_NORMAL_PRESION,23.221,40.4521,45.0,15.0,45.0,68.6,,,
64,2026-03-08T19:17:04.006491,002,304,3346,YA2,presion_vapor,PRESION_ALTA,126.819,126.0623,45.0,15.0,45.0,127.6,"Presión de vapor excesiva, valor suavizado en 126.06 PSI.  La presión supera ampliamente el límite máximo permitido de 45 PSI.  Cierre inmediatamente la válvula de vapor y notifique al supervisor de turno.",,
65,2026-03-08T19:20:03.973770,001,305,2260,YB1,presion_vapor,PRESION_ALTA,24.01,58.3362,45.0,15.0,45.0,69.2,Presión de vapor excediendo el límite máximo permitido. Verifique la válvula de entrada de vapor por posible obstrucción. Cierre manualmente la válvula de vapor hasta alcanzar el rango operativo normal. Notifique al supervisor de turno sobre la alta severidad.,,
66,2026-03-08T19:22:03.973770,001,305,2260,YB1,presion_vapor,RETORNO_NORMAL_PRESION,23.399,40.5182,45.0,15.0,45.0,77.9,,,
67,2026-03-08T19:25:04.006491,002,304,3346,YA2,presion_vapor,RETORNO_NORMAL_PRESION,27.639,44.075,45.0,15.0,45.0,172.7,,,
68,2026-03-08T19:27:03.973770,001,302,2260,YB1,temp_acond,TEMPERATURA_BAJA,54.839,71.3753,85.0,85.0,285.0,51.2,"Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de vapor en línea. Abra la válvula de vapor hasta alcanzar 85 grados Celsius, monitoreando la corriente del motor.",,
69,2026-03-08T19:33:03.973770,001,302,2260,YB1,presion_vapor,RETORNO_NORMAL_PRESION,17.316,15.3882,15.0,15.0,45.0,78.8,,,
70,2026-03-08T22:11:03.973770,001,302,2260,YB1,presion_vapor,PRESION_BAJA,5.744,13.197,15.0,15.0,45.0,70.5,Presión de vapor por debajo del límite mínimo aceptable. Verifique la línea de vapor principal por posible falla de caldera. Reporte caída de línea y baje la carga a 50%.,,
71,2026-03-08T22:27:04.006491,002,304,3346,YA2,temp_acond,TEMPERATURA_BAJA,72.275,68.5155,70.0,70.0,270.0,79.6,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique el porcentaje de vapor actual. Abra la válvula de vapor para aumentar la temperatura del acondicionador.,,
72,2026-03-08T22:28:04.006491,002,304,3346,YA2,temp_acond,RETORNO_NORMAL_TEMPERATURA,78.958,71.6483,70.0,70.0,270.0,103.7,,,
73,2026-03-08T22:31:03.973770,001,302,2260,YB1,presion_vapor,RETORNO_NORMAL_PRESION,16.86,15.3468,15.0,15.0,45.0,86.1,,,
74,2026-03-09T00:33:03.973770,001,301,3360,ZB1,presion_vapor,RETORNO_NORMAL_PRESION,10.085,8.6159,8.0,8.0,25.0,42.1,,,
75,2026-03-09T00:35:03.973770,001,302,2260,YB1,presion_vapor,PRESION_BAJA,8.96,14.2667,15.0,15.0,45.0,54.4,"Presión de vapor baja, 14.27 PSI por debajo del límite mínimo de 15.0 PSI. Verifique porcentaje de vapor en línea. Abra la válvula de vapor para compensar la caída de presión.",,
76,2026-03-09T01:27:04.006491,002,303,3346,YA2,temp_acond,TEMPERATURA_BAJA,70.474,61.891,70.0,70.0,270.0,67.1,"Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de vapor actual en la línea. Abra la válvula de vapor hasta alcanzar la temperatura objetivo, monitoreando la corriente del motor para evitar sobrecarga.",,
77,2026-03-09T01:37:04.006491,002,303,3346,YA2,temp_acond,RETORNO_NORMAL_TEMPERATURA,74.274,71.0554,70.0,70.0,270.0,87.1,,,
78,2026-03-09T02:10:03.973770,001,301,3360,ZB1,presion_vapor,PRESION_BAJA,5.275,7.9199,8.0,8.0,25.0,40.2,"Presión de vapor baja, valor suavizado en 7.92 PSI.  La presión está por debajo del límite mínimo de 8.0 PSI. Reporte caída de línea y baje la carga inmediatamente.",,
79,2026-03-09T02:38:03.973770,001,301,3360,ZB1,presion_vapor,RETORNO_NORMAL_PRESION,14.461,11.9968,8.0,8.0,25.0,40.2,,,
80,2026-03-09T03:21:03.973770,001,305,2260,YB1,presion_vapor,PRESION_ALTA,26.517,58.3381,45.0,15.0,45.0,84.9,Presión de vapor suavizada supera el límite máximo permitido. Verifique la válvula de control de presión de vapor. Reduzca la presión de vapor hasta el rango operativo normal.,,
81,2026-03-09T04:34:03.973770,001,301,3360,ZB1,presion_vapor,PRESION_BAJA,5.354,5.8463,8.0,8.0,25.0,101.5,"Presión de vapor críticamente baja, 5.85 PSI. Riesgo inminente de falla en la línea de vapor. Detenga la alimentación y notifique al supervisor de turno.",,
82,2026-03-09T04:35:03.973770,001,301,3360,ZB1,presion_vapor,RETORNO_NORMAL_PRESION,14.283,8.3773,8.0,8.0,25.0,85.0,,,
83,2026-03-09T06:04:04.006491,002,304,3346,YA2,temp_acond,TEMPERATURA_BAJA,70.948,58.3621,70.0,70.0,270.0,78.1,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de vapor en la línea. Abra la válvula de vapor para aumentar la temperatura del acondicionador.,,
84,2026-03-09T06:07:04.006491,002,304,3346,YA2,temp_acond,RETORNO_NORMAL_TEMPERATURA,77.456,70.9264,70.0,70.0,270.0,162.9,,,
85,2026-03-09T06:28:03.973770,001,301,3360,ZB1,presion_vapor,PRESION_BAJA,5.186,6.9621,8.0,8.0,25.0,40.2,"Presión de vapor críticamente baja, 6.96 PSI por debajo del límite mínimo. Verifique la línea de vapor principal por posible falla externa. Reporte caída de línea y baje la carga a 20%.",,
86,2026-03-09T06:47:03.973770,001,301,3360,ZB1,temp_acond,TEMPERATURA_BAJA,78.282,79.6728,80.0,80.0,280.0,40.0,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de vapor disponible para la máquina 301. Abra la válvula de vapor para aumentar la temperatura del acondicionador.,,
87,2026-03-09T06:52:03.973770,001,304,2140,XB1,temp_acond,TEMPERATURA_BAJA,59.633,67.9204,70.0,70.0,270.0,82.2,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique el porcentaje de vapor en línea. Abra la válvula de vapor hasta alcanzar la temperatura objetivo.,,
88,2026-03-09T07:05:04.006491,002,303,3346,YA2,temp_acond,TEMPERATURA_BAJA,70.552,63.325,70.0,70.0,270.0,75.1,Temperatura suavizada por debajo del límite mínimo aceptable. Verifique porcentaje de vapor actual. Abra la válvula de vapor para aumentar la temperatura del acondicionador.,,
89,2026-03-09T07:11:04.006491,002,303,3346,YA2,temp_acond,RETORNO_NORMAL_TEMPERATURA,76.325,71.2754,70.0,70.0,270.0,92.9,,,
90,2026-03-09T07:23:03.973770,001,304,2140,XB1,temp_acond,RETORNO_NORMAL_TEMPERATURA,71.23,70.0114,70.0,70.0,270.0,102.3,,,
91,2026-03-09T09:08:03.973770,001,305,2260,YB1,presion_vapor,RETORNO_NORMAL_PRESION,24.364,41.089,45.0,15.0,45.0,75.0,,,
92,2026-03-09T09:29:03.973770,001,301,2260,YB1,presion_vapor,RETORNO_NORMAL_PRESION,15.772,15.1021,15.0,15.0,45.0,70.9,,,
93,2026-03-09T09:47:04.006491,002,303,3346,YA2,temp_acond,TEMPERATURA_BAJA,57.161,60.9697,70.0,70.0,270.0,79.9,"Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de vapor actual. Abra la válvula de vapor hasta alcanzar el rango operativo, monitoreando la corriente del motor.",,
94,2026-03-09T09:59:04.006491,002,303,3346,YA2,temp_acond,RETORNO_NORMAL_TEMPERATURA,74.39,70.7456,70.0,70.0,270.0,80.9,,,
95,2026-03-09T10:56:03.973770,001,301,2260,YB1,presion_vapor,PRESION_BAJA,5.354,13.8168,15.0,15.0,45.0,54.8,"Presión de vapor críticamente baja, valor suavizado en 13.82 PSI. La presión está por debajo del límite mínimo de 15.0 PSI, revise la línea de vapor. Reporte caída de línea y baje la carga inmediatamente.",,
96,2026-03-09T12:11:03.973770,001,301,2260,YB1,presion_vapor,PRESION_BAJA,5.354,13.7454,15.0,15.0,45.0,60.7,Presión de vapor suavizada por debajo del límite mínimo aceptable. La lectura cruda del sensor indica posible falla en la línea de vapor. Detenga la alimentación inmediatamente y notifique al supervisor de turno.,,
97,2026-03-09T12:17:04.006491,002,304,3352,YB2,temp_acond,RETORNO_NORMAL_TEMPERATURA,81.373,72.9384,70.0,70.0,270.0,177.0,,,
98,2026-03-09T12:30:04.006491,002,303,3346,YA2,temp_acond,TEMPERATURA_BAJA,76.134,66.0628,70.0,70.0,270.0,75.1,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de vapor actual. Abra la válvula de vapor para alcanzar la temperatura mínima requerida.,,
99,2026-03-09T12:34:04.006491,002,303,3346,YA2,temp_acond,RETORNO_NORMAL_TEMPERATURA,77.361,71.8436,70.0,70.0,270.0,88.9,,,
100,2026-03-09T12:55:03.973770,001,301,2260,YB1,temp_acond,RETORNO_NORMAL_TEMPERATURA,86.152,85.2188,85.0,85.0,285.0,64.2,,,
101,2026-03-09T14:07:03.973770,001,301,2260,YB1,presion_vapor,PRESION_BAJA,5.443,13.8693,15.0,15.0,45.0,55.9,"Presión de vapor críticamente baja, valor suavizado en 13.87 PSI. La lectura cruda del sensor es de 5.44 PSI, indicando posible falla en la línea de vapor. Detenga la alimentación inmediatamente y notifique al supervisor de turno.",,
102,2026-03-09T14:07:04.006491,002,304,3352,YB2,temp_acond,TEMPERATURA_BAJA,67.456,69.6834,70.0,70.0,270.0,91.7,Temperatura del acondicionador por debajo del límite mínimo aceptable. Verifique porcentaje de vapor en línea. Abra la válvula de vapor para alcanzar la temperatura objetivo.,,
